K1	NeuS_K1	NeuE	NeuC	NeuA	NeuB	NeuD									
K10	K10_5	K10_6	K10_7	K10_8	K10_11	K10_12	K10_13	RfbB	RfbD	RfbA	RfbC				
K100	K100_7	K100_8	K100_9												
K106	K106_7	K106_9	K106_10	K106_11	K106_12	K106_13									
K11	K11_7	K11_8	K11_9	K11_10	K11_11	K11_12	K11_13								
K12	K12_10	K12_11	K12_12	K12_13											
K13_K23	K13_K23_9	K13_K23_10													
K14	K14_7	K14_8													
K15	K15_10	K15_12	K15_13	K15_14	K15_15										
K16	K16_7	K16_8													
K18_K22	K18_K22_7	K18_K22_8	K18_K22_9												
K19	K19_3	K19_4	K19_5												
K2	KslE	KslD	KslC	KslB	KslA										
K20	K20_7	K20_8													
K118	K118_10	K118_11	K118_12												
K114	K114_5	K114_6	K114_7	K114_8	K114_9	K114_10	K114_12	K114_13	RfbB	RfbD	RfbA	RfbC			
K123	K123_7	K123_8	K123_9												
K117	K117_7	K117_8	K117_9	K117_10											
K126	K126_9	K126_10	K126_11	K126_12											
K111	K111_9	K111_10													
K24	K24_8	K24_9	K24_10	K24_11	K24_12										
K132	K132_7	K132_11	K132_12	K132_13											
K136	K136_7	K136_8													
K149	K149_5	K149_6	K149_7	K149_8	K149_9	K149_10	K149_11	K149_12	K149_13	RfbB	RfbD	RfbA	RfbC		
K125	K125_9	K125_10	K125_11												
K112	K112_7	K112_8	K112_9	K112_10	K112_11										
K104	K104_9	K104_10													
K145	K145_5	K145_6	K145_7	K145_8	K145_9	K145_10	K145_11	K145_12	RfbB	RfbD	RfbA	RfbC			
K128	K128_9	K128_10	K128_11												
K129	K129_5	K129_6	K129_7	K129_8	K129_9	K129_10	K129_11	K129_12	K129_13	RfbB	RfbD	RfbA	RfbC		
K150	K150_6	K150_7	K150_8	K150_9	K150_10	K150_11	K150_12	K150_13							
K151	K151_5	K151_6	K151_7	K151_9	K151_10	K151_11	K151_12								
K127	K127_9	K127_10													
K107	K107_9	K107_10													
K3	K3_5	K3_6	K3_7	K3_8	K3_9	K3_10	K3_11	K3_12	K3_13	K3_14	K3_15	RfbB	RfbD	RfbA	RfbC
K115	K115_7	K115_8	K115_9	K115_10	K115_11										
