HMM_ID	Cutoff
K108_13	598
K51_11	654
K53_K93_13	553
K143_10	118
K132_12	120
K114_9	127
K112_8	113
K147_8	201
K7_8	228
K109_9	220
K3_8	216
K14_7	197
K13_K23_9	231
K159_7	256
K160_11	287
K140_9	291
K126_12	176
K24_12	117
K121_7	117
K4_9	231
K106_13	305
K3_13	286
K138_10	286
K3_9	283
K150_7	306
K151_12	223
K3_7	326
K133_7	284
K133_12	330
K154_8	317
K160_7	220
K146_8	371
K113_8	239
K153_7	385
K159_12	370
K15_14	308
K118_11	234
K51_10	1114
K140_8	384
K120_7	192
K12_10	209
K158_11	292
K115_8	407
K149_12	328
K134_7	396
K52_13	308
K145_9	368
K158_9	368
K133_10	285
K18_K22_7	339
K149_7	376
K131_8	430
K110_13	328
K127_10	202
K10_13	332
K116_7	222
K125_9	365
K122_9	444
K133_8	350
K129_13	330
K146_10	356
K155_7	218
K144_10	379
K125_10	482
K106_7	242
K11_12	509
K160_10	370
K96_11	333
K18_K22_8	461
K7_11	364
K160_8	262
K158_7	374
K74_9	221
K110_7	468
K53_K93_8	367
K122_7	534
K10_7	188
K163_10	498
K51_9	342
K147_5	270
K153_9	372
K112_9	224
K146_13	557
K10_12	665
K109_7	507
K11_7	353
K159_14	300
K154_9	384
K163_14	332
K159_9	388
K149_8	367
K121_9	658
K98_12	287
K129_7	379
K158_14	383
K145_8	315
K158_8	315
K163_7	575
K53_K93_11	609
K15_15	225
K153_13	325
K144_8	400
K155_6	568
K126_10	470
K145_7	374
K151_6	374
K140_11	351
K117_9	355
K3_11	498
K53_K93_12	535
K151_9	751
K144_14	332
K94_6	296
K154_12	412
K149_13	377
K10_11	304
K105_10	501
K138_12	658
K143_12	658
K20_8	992
K115_10	560
K96_7	283
K24_8	285
K133_11	657
K129_9	370
K134_8	370
K138_9	370
K98_6	781
K134_6	881
K144_13	657
K19_3	408
K148_7	317
K100_8	459
K158_6	784
K15_10	232
K16_8	1092
K134_9	286
K145_6	785
K151_11	394
K119_7	897
K104_9	1051
K159_15	657
K136_7	511
K111_10	363
K142_5	836
K142_7	482
K112_10	430
K133_5	270
K160_12	649
K132_13	762
K114_6	709
K153_6	764
K157_7	711
K159_16	334
K19_5	501
K129_11	286
K11_8	745
K128_11	296
K121_5	830
K116_8	1158
K11_11	123
K124_10	433
K120_8	1060
K129_5	825
K110_8	386
K118_10	324
K10_5	691
K138_7	707
K143_5	857
K136_8	297
K129_6	767
K159_5	856
K131_7	1046
K124_11	408
K151_10	665
K144_12	290
K142_8	397
K140_7	399
K74_8	1056
K163_9	212
K158_13	332
K52_10	799
K160_6	610
K98_9	368
K13_K23_10	1060
K6_9	324
K95_8	1043
K109_8	1051
K11_10	539
K149_6	785
K151_7	398
K127_9	1110
K94_7	502
K145_10	287
K106_12	319
K100_7	337
K122_8	365
K133_9	369
K10_8	419
K95_7	501
K158_12	665
K114_5	805
K97_8	1098
K141_12	1118
K106_9	889
K12_11	1011
K148_9	432
K146_9	352
K156_9	1127
K159_11	719
K147_10	286
K135_7	1060
K133_6	722
K163_5	854
K121_6	787
K98_7	388
K144_7	713
K110_9	354
K132_11	342
K153_12	649
K155_8	1132
K117_7	280
K107_10	1122
K114_12	535
K96_6	727
K150_13	224
K110_10	669
K3_5	850
K132_7	210
K7_10	395
K3_6	776
K160_5	369
K123_8	505
K118_12	501
K142_13	331
K143_6	779
K6_7	622
K96_5	291
K142_11	287
K134_10	655
K123_7	364
K159_13	117
K147_11	657
K134_5	296
K18_K22_9	1066
K121_8	290
K143_7	483
K153_11	286
K145_5	855
K106_11	362
K53_K93_10	350
K116_9	258
K112_11	1112
K149_5	850
K114_13	332
K52_12	982
K149_11	535
K163_13	658
K111_9	1042
K24_10	374
K113_10	428
K148_8	360
K3_12	117
K159_6	785
K163_6	785
K7_9	896
K24_11	390
K115_9	667
K142_12	657
K12_12	490
K129_12	647
K156_8	524
K114_8	366
K114_7	405
K98_13	658
K158_5	856
K98_8	403
K6_8	436
K115_7	468
K142_9	369
K100_9	1058
K147_9	367
K19_4	1055
K153_5	824
K112_7	500
K123_9	290
K147_6	717
K97_7	193
K3_14	659
K98_5	840
K138_8	326
K14_8	723
K146_11	613
K146_12	533
K128_10	485
K53_9	206
K144_6	805
K117_8	667
K96_10	661
K142_6	789
K151_5	322
K122_11	121
K93_9	210
K143_9	564
K143_8	176
K7_12	321
K110_12	554
K98_11	117
K148_10	428
K150_12	254
K147_12	330
K138_13	330
K143_13	330
K147_7	346
K126_9	615
K98_14	332
K160_13	326
K10_6	351
K146_7	470
K96_8	368
K144_9	267
K145_12	333
K3_15	329
K126_11	327
K15_13	302
K106_10	393
K138_6	272
K121_10	332
K12_13	330
K52_7	499
K154_11	433
K160_9	509
K74_7	507
K104_10	252
K124_9	368
K4_11	122
K113_7	302
K95_9	219
K140_10	432
K150_6	294
K53_K93_7	470
K153_8	420
K11_9	414
K122_10	350
K125_11	365
K154_10	291
K163_11	117
K124_8	364
K24_9	360
K150_11	227
K7_13	258
K11_13	236
K141_11	344
K156_7	186
