HMM_ID	Cutoff
K10_11	457
K10_12	998
K10_13	498
K10_5	1037
K10_6	527
K10_7	283
K10_8	629
K100_7	506
K100_8	689
K100_9	1589
K106_10	590
K106_11	544
K106_12	479
K106_13	458
K106_7	363
K106_9	1335
K11_10	810
K11_11	184
K11_12	764
K11_13	354
K11_7	530
K11_8	1118
K11_9	622
K12_10	314
K12_11	1518
K12_12	735
K12_13	495
K13_K23_10	1592
K13_K23_9	347
K14_7	296
K14_8	1085
K14_GalE	365
K15_10	349
K15_11	125
K15_12	299
K15_13	454
K15_14	463
K15_15	338
K16_7	400
K16_8	1639
K18_K22_7	509
K18_K22_8	692
K18_K22_9	1601
K19_3	612
K19_4	1584
K19_5	753
K20_7	354
K20_8	1490
K118_10	487
K118_11	351
K118_12	753
K114_10	358
K114_12	803
K114_13	499
K114_5	1208
K114_6	1064
K114_7	608
K114_8	550
K114_9	190
K123_7	546
K123_8	759
K123_9	436
K117_10	181
K117_7	421
K117_8	1001
K117_9	533
K126_10	706
K126_11	491
K126_12	264
K126_9	924
K111_10	545
K111_9	1564
K24_10	561
K24_11	586
K24_12	176
K24_8	428
K24_9	541
K132_11	514
K132_12	180
K132_13	1144
K132_7	316
K136_7	767
K136_8	446
K149_10	441
K149_11	803
K149_12	493
K149_13	566
K149_5	1276
K149_6	1178
K149_7	564
K149_8	551
K149_9	70
K125_10	723
K125_11	548
K125_9	548
K112_10	646
K112_11	1669
K112_7	750
K112_8	169
K112_9	336
K104_10	378
K104_9	1578
K145_10	431
K145_11	486
K145_12	500
K145_5	1284
K145_6	1178
K145_7	562
K145_8	473
K145_9	552
K128_10	728
K128_11	445
K128_9	301
K129_10	176
K129_11	430
K129_12	972
K129_13	496
K129_5	1238
K129_6	1151
K129_7	569
K129_8	377
K129_9	555
K150_10	169
K150_11	341
K150_12	381
K150_13	337
K150_6	441
K150_7	460
K150_8	456
K150_9	301
K151_10	998
K151_11	592
K151_12	335
K151_5	484
K151_6	562
K151_7	598
K151_9	1128
K266_10	433
K266_11	988
K266_12	495
K266_5	227
K266_6	437
K266_7	1714
K266_8	577
K266_9	556
K127_10	304
K127_9	1666
K107_10	1684
K107_9	472
K3_10	328
K3_11	748
K3_12	176
K3_13	430
K3_14	990
K3_15	494
K3_5	1276
K3_6	1165
K3_7	490
K3_8	324
K3_9	425
K115_10	841
K115_11	491
K115_7	703
K115_8	611
K115_9	1002
K153_10	167
K153_11	429
K153_12	974
K153_13	488
K153_5	1237
K153_6	1147
K153_7	578
K153_8	631
K153_9	558
K144_10	569
K144_12	435
K144_13	987
K144_14	498
K144_6	1209
K144_7	1070
K144_8	600
K144_9	401
K4_11	183
K4_9	347
K140_10	649
K140_11	527
K140_7	599
K140_8	576
K140_9	437
K154_10	437
K154_11	650
K154_12	619
K154_8	476
K154_9	577
K148_10	642
K148_7	476
K148_8	540
K148_9	648
K124_10	650
K124_11	613
K124_8	547
K124_9	552
K146_10	534
K146_11	920
K146_12	801
K146_13	836
K146_7	706
K146_8	557
K146_9	528
K116_7	333
K116_8	1739
K116_9	387
K131_7	1571
K131_8	645
K119_7	1347
K120_7	288
K120_8	1591
K113_10	643
K113_7	453
K113_8	359
K113_9	500
K155_6	853
K155_7	328
K155_8	1699
K141_11	517
K141_12	1679
K156_7	279
K156_8	787
K156_9	1692
K157_6	308
K157_7	1067
K74_7	762
K74_8	1586
K74_9	332
K109_7	761
K109_8	1578
K109_9	331
K135_7	1591
K135_8	324
K122_10	526
K122_11	181
K122_7	802
K122_8	548
K122_9	667
K105_10	752
K105_9	340
K158_10	173
K158_11	438
K158_12	998
K158_13	498
K158_14	575
K158_5	1286
K158_6	1177
K158_7	562
K158_8	473
K158_9	552
K159_11	1080
K159_12	555
K159_13	175
K159_14	451
K159_15	986
K159_16	501
K159_5	1285
K159_6	1178
K159_7	385
K159_9	583
K110_10	1005
K110_12	832
K110_13	492
K110_7	702
K110_8	579
K110_9	532
K160_10	555
K160_11	431
K160_12	975
K160_13	490
K160_5	554
K160_6	916
K160_7	330
K160_8	393
K160_9	765
K134_10	983
K134_11	495
K134_5	444
K134_6	1323
K134_7	594
K134_8	555
K134_9	429
K147_10	429
K147_11	987
K147_12	495
K147_5	406
K147_6	1077
K147_7	520
K147_8	302
K147_9	551
K133_10	428
K133_11	986
K133_12	496
K133_5	406
K133_6	1084
K133_7	427
K133_8	525
K133_9	554
K138_10	430
K138_12	988
K138_13	495
K138_6	408
K138_7	1061
K138_8	489
K138_9	555
K508_10	524
K508_11	461
K508_5	485
K508_6	562
K508_7	597
K508_8	1789
K508_9	531
K51_11	654
K51_10	1672
K108_13	598
K51_9	514
K142_10	176
K142_11	431
K142_12	987
K142_13	497
K142_5	1256
K142_6	1185
K142_7	723
K142_8	596
K142_9	554
K511_10	748
K511_15	431
K511_16	987
K511_17	498
K511_5	1282
K511_6	1175
K511_7	867
K511_8	315
K511_9	336
K121_10	498
K121_5	1246
K121_6	1181
K121_7	176
K121_8	435
K121_9	988
K143_10	177
K143_11	436
K143_12	988
K143_13	495
K143_5	1287
K143_6	1169
K143_7	725
K143_8	264
K143_9	847
K163_10	747
K163_11	175
K163_12	435
K163_13	988
K163_14	498
K163_5	1283
K163_6	1178
K163_7	864
K163_9	319
K517_10	748
K517_15	498
K517_16	987
K517_17	431
K517_18	176
K517_5	1155
K517_6	1181
K517_7	867
K517_8	315
K517_9	336
K52_10	1199
K52_12	1474
K52_13	462
K52_7	749
K52_8	140
K52_9	350
